,Country Code,Year,Disaster Internal Displacements
0,ETH,2008,72810
1,ETH,2010,10000
2,ETH,2012,20000
3,ETH,2013,60300
4,ETH,2014,46880
5,ETH,2015,90540
6,ETH,2016,347000
7,ETH,2017,52170
8,ETH,2018,171000
9,ETH,2019,372602
10,ETH,2020,643700
11,ETH,2021,185610
12,KEN,2008,10100
13,KEN,2009,92000
14,KEN,2010,53500
15,KEN,2011,19000
16,KEN,2012,97910
17,KEN,2013,180600
18,KEN,2014,1100
19,KEN,2015,105590
20,KEN,2016,40000
21,KEN,2017,35616
22,KEN,2018,334758
23,KEN,2019,72668
24,KEN,2020,332908
25,KEN,2021,36200
26,NGA,2009,140000
27,NGA,2010,560000
28,NGA,2011,6300
29,NGA,2012,3894000
30,NGA,2013,117000
31,NGA,2014,3010
32,NGA,2015,100600
33,NGA,2016,78050
34,NGA,2017,120000
35,NGA,2018,604900
36,NGA,2019,155092
37,NGA,2020,272604
38,NGA,2021,24416
39,SDN,2008,46500
40,SDN,2009,80000
41,SDN,2010,20000
42,SDN,2011,19000
43,SDN,2012,84000
44,SDN,2013,284000
45,SDN,2014,187000
46,SDN,2015,8300
47,SDN,2016,123000
48,SDN,2017,53800
49,SDN,2018,121000
50,SDN,2019,272000
51,SDN,2020,454000
52,SDN,2021,98230
53,SOM,2008,12000
54,SOM,2010,5200
55,SOM,2013,54800
56,SOM,2014,36140
57,SOM,2015,55900
58,SOM,2016,70000
59,SOM,2017,7030
60,SOM,2018,289000
61,SOM,2019,416082
62,SOM,2020,979000
63,SOM,2021,103353
64,SSD,2012,340000
65,SSD,2013,116000
66,SSD,2014,104500
67,SSD,2015,15000
68,SSD,2017,74980
69,SSD,2018,6402
70,SSD,2019,289020
71,SSD,2020,442400
72,SSD,2021,505200
73,TZA,2008,2440
74,TZA,2009,11000
75,TZA,2011,22000
76,TZA,2012,10000
77,TZA,2014,13650
78,TZA,2016,25800
79,TZA,2017,490
80,TZA,2018,26720
81,TZA,2019,9270
82,TZA,2020,57130
83,TZA,2021,16300
84,ZMB,2008,5800
85,ZMB,2009,54000
86,ZMB,2013,5500
87,ZMB,2014,25930
88,ZMB,2017,2454
89,ZMB,2018,1
90,ZMB,2019,1353
91,ZMB,2020,5970
92,ZMB,2021,1300
